Origin,Destination,Flight Number,Departure(LT),Arrival(LT),Flight Type,Via,Days of Operation
Varanasi (VNS),Delhi (DEL),SW 2015,06:40,08:10,Direct,,Daily
Mumbai (BOM),Hubli (HBX),SW 5144,06:45,08:00,Direct,,Daily
Kolkata (CCU),Delhi (DEL),SW 2119,06:45,09:15,Direct,,Daily
Hyderabad (HYD),Chennai (MAA),SW 0289,06:45,08:05,Direct,,Daily
Chennai (MAA),Jaipur (JAI),SW 6213,06:45,09:20,Direct,,Daily
Mumbai (BOM),Udaipur (UDR),SW 5038,06:45,08:05,Direct,,Mon Tue Wed Thu Sun
Delhi (DEL),Srinagar (SXR),SW 2641,06:45,08:15,Direct,,Mon Wed Fri Sat Sun
Bhubaneshwar (BBI),Guwahati (GAU),SW 6913,06:50,08:30,Direct,,Daily
Aurangabad (IXU),Mumbai (BOM),SW 5223,06:50,07:55,Direct,,Daily
Hyderabad (HYD),Lucknow (LKO),SW 0453,06:50,08:45,Direct,,Daily
Hyderabad (HYD),Rajahmundry (RJA),SW 7118,06:50,08:05,Direct,,Daily
Ahmedabad (AMD),Mumbai (BOM),SW 2046,06:55,08:15,Direct,,Daily
Vadodara (BDQ),Mumbai (BOM),SW 5187,06:55,08:10,Direct,,Daily
Bengaluru (BLR),Jodhpur (JDH),SW 6032,06:55,09:40,Direct,,Daily
Bengaluru (BLR),Vijayawada (VGA),SW 7204,06:55,08:35,Direct,,Daily
Mumbai (BOM),Istanbul (IST),SW 0017,06:55,11:35,Direct,,Daily
Kolkata (CCU),Agartala (IXA),SW 7418,06:55,08:00,Direct,,Daily
Delhi (DEL),Ranchi (IXR),SW 5044,06:55,08:40,Direct,,Daily
Jaipur (JAI),Udaipur (UDR),SW 7465,06:55,07:55,Direct,,Daily
Hyderabad (HYD),Bengaluru (BLR),SW 0413,06:55,08:10,Direct,,Mon Tue Wed Thu Fri Sun
Delhi (DEL),Jodhpur (JDH),SW 2411,06:55,08:15,Direct,,Mon Tue Wed Thu Sat Sun
Delhi (DEL),Raipur (RPR),SW 2076,06:55,08:45,Direct,,Sun
Nagpur (NAG),Delhi (DEL),SW 2432,06:55,08:40,Direct,,Tue Wed Thu Fri Sat Sun
Ahmedabad (AMD),Chennai (MAA),SW 0479,07:00,09:15,Direct,,Daily
Ahmedabad (AMD),Coimbatore (CJB),SW 0479,07:00,11:05,Via,MAA,Daily
Bengaluru (BLR),Mumbai (BOM),SW 5075,07:00,09:05,Direct,,Daily
Bengaluru (BLR),Delhi (DEL),SW 6433,07:00,09:55,Direct,,Daily
Delhi (DEL),Bengaluru (BLR),SW 6403,07:00,09:45,Direct,,Daily
Mumbai (BOM),Delhi (DEL),SW 0301,07:00,09:10,Direct,,Daily
Delhi (DEL),Mumbai (BOM),SW 6814,07:00,09:15,Direct,,Daily
Chennai (MAA),Mumbai (BOM),SW 5314,07:00,09:10,Direct,,Daily
Varanasi (VNS),Mumbai (BOM),SW 0372,07:00,09:30,Direct,,Daily
Kochi (COK),Hyderabad (HYD),SW 0553,07:00,08:35,Direct,,Daily
Indore (IDR),Delhi (DEL),SW 5126,07:00,08:30,Direct,,Daily
